"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
75,0.4,0.2,"TC",16.6064771114107
75,0.6,0.2,"TC",18.8002189388753
105,0.4,0.2,"TC",21.5925826358884
105,0.6,0.2,"TC",18.831623335698
90,0.5,0.2,"TC",21.9612955265147
75,0.4,0.2,"TC",17.2322924309749
75,0.6,0.2,"TC",21.6139836470839
105,0.4,0.2,"TC",24.5180031838983
105,0.6,0.2,"TC",18.5176270968701
90,0.5,0.2,"TC",18.0560797514315
75,0.4,0.2,"TC",18.2233585889378
75,0.6,0.2,"TC",17.8740903208316
105,0.4,0.2,"TC",18.8986144060584
105,0.6,0.2,"TC",18.9548673815648
90,0.5,0.2,"TC",14.9303606578205
75,0.4,0.2,"TC",22.847055564613
75,0.6,0.2,"TC",18.5372242317187
105,0.4,0.2,"TC",19.2442581705052
105,0.6,0.2,"TC",13.7510319339221
90,0.5,0.2,"TC",20.6405410349136
75,0.4,0.2,"TC",14.8328377022866
75,0.6,0.2,"TC",18.2858575121304
105,0.4,0.2,"TC",23.5152093343003
105,0.6,0.2,"TC",14.7795825437068
90,0.5,0.2,"TC",22.0659411160475
75,0.4,0.2,"TC",16.1492109491133
75,0.6,0.2,"TC",18.0569673888629
105,0.4,0.2,"TC",23.6311378628828
105,0.6,0.2,"TC",14.8613338886257
90,0.5,0.2,"TC",19.2365468695357
75,0.4,0.2,"TC",22.7679049142069
75,0.6,0.2,"TC",13.1193311913284
105,0.4,0.2,"TC",19.0027341154765
105,0.6,0.2,"TC",19.0026660156724
90,0.5,0.2,"TC",21.839768770944
75,0.4,0.2,"TC",19.8389193000926
75,0.6,0.2,"TC",17.917209407343
105,0.4,0.2,"TC",15.1386510987293
105,0.6,0.2,"TC",12.1382324251132
90,0.5,0.2,"TC",15.6259797257696
75,0.4,0.2,"TC",15.6081678320584
75,0.6,0.2,"TC",18.2679445486234
105,0.4,0.2,"TC",17.2817212664019
105,0.6,0.2,"TC",13.4529054235671
90,0.5,0.2,"TC",17.3426125161551
75,0.4,0.2,"TC",17.2095995567332
75,0.6,0.2,"TC",13.3832037080457
105,0.4,0.2,"TC",17.877458885766
105,0.6,0.2,"TC",17.6277907832046
90,0.5,0.2,"TC",16.407639524686
75,0.4,0.2,"TC",19.3431665910373
75,0.6,0.2,"TC",17.812738693015
105,0.4,0.2,"TC",19.7362668415072
105,0.6,0.2,"TC",12.9582145692087
90,0.5,0.2,"TC",17.7456727808373
75,0.4,0.2,"TC",20.801755797041
75,0.6,0.2,"TC",15.1171433141905
105,0.4,0.2,"TC",24.6916676605632
105,0.6,0.2,"TC",13.7104236591951
90,0.5,0.2,"TC",18.4228014325014
75,0.4,0.2,"TC",19.2935022331153
75,0.6,0.2,"TC",18.2277899469042
105,0.4,0.2,"TC",21.7977705919035
105,0.6,0.2,"TC",15.9317121133735
90,0.5,0.2,"TC",17.3743449505247
75,0.4,0.2,"TC",21.3390768521321
75,0.6,0.2,"TC",18.3148756156019
105,0.4,0.2,"TC",22.7517162634943
105,0.6,0.2,"TC",16.6676820663667
90,0.5,0.2,"TC",15.901823299074
75,0.4,0.2,"TC",20.1592654909772
75,0.6,0.2,"TC",12.5752915774782
105,0.4,0.2,"TC",17.6251628794066
105,0.6,0.2,"TC",19.6984892177402
90,0.5,0.2,"TC",17.198089261349
75,0.4,0.2,"TC",15.5199256493917
75,0.6,0.2,"TC",11.9220866828095
105,0.4,0.2,"TC",20.9354049858362
105,0.6,0.2,"TC",15.2902130103799
90,0.5,0.2,"TC",15.4010373466233
75,0.4,0.2,"TC",17.3834389848236
75,0.6,0.2,"TC",16.9522828886754
105,0.4,0.2,"TC",19.0506885875029
105,0.6,0.2,"TC",12.9006206342152
90,0.5,0.2,"TC",15.8124413310798
75,0.4,0.2,"TC",20.4475920820953
75,0.6,0.2,"TC",20.1135612778381
105,0.4,0.2,"TC",18.0203444864414
105,0.6,0.2,"TC",14.7232486581258
90,0.5,0.2,"TC",24.4683938130419
75,0.4,0.2,"TC",17.3664211815151
75,0.6,0.2,"TC",19.5139195632465
105,0.4,0.2,"TC",19.5951031058747
105,0.6,0.2,"TC",13.6110417230709
90,0.5,0.2,"TC",16.8235387959647
75,0.4,0.2,"TC",20.5589395149655
75,0.6,0.2,"TC",12.7872084293042
105,0.4,0.2,"TC",21.3198725376099
105,0.6,0.2,"TC",19.2911581622302
90,0.5,0.2,"TC",19.201860665487
75,0.4,0.2,"TC",22.1247163281888
75,0.6,0.2,"TC",22.5532619070342
105,0.4,0.2,"TC",16.9846759209824
105,0.6,0.2,"TC",15.4338800249703
90,0.5,0.2,"TC",15.7237838922794
75,0.4,0.2,"TC",21.3753192302339
75,0.6,0.2,"TC",17.5742307408463
105,0.4,0.2,"TC",18.7376447306266
105,0.6,0.2,"TC",15.456972682276
90,0.5,0.2,"TC",17.6002811992557
75,0.4,0.2,"TC",19.0593151889944
75,0.6,0.2,"TC",13.6822072146848
105,0.4,0.2,"TC",13.6552172002774
105,0.6,0.2,"TC",17.867098720394
90,0.5,0.2,"TC",19.0054972242125
75,0.4,0.2,"TC",23.6999880344331
75,0.6,0.2,"TC",17.1588519296979
105,0.4,0.2,"TC",20.2793968009579
105,0.6,0.2,"TC",21.66210170532
90,0.5,0.2,"TC",24.1598896520889
75,0.4,0.2,"TC",18.7615251549472
75,0.6,0.2,"TC",10.9251552921512
105,0.4,0.2,"TC",19.3375449776955
105,0.6,0.2,"TC",14.6428408725064
90,0.5,0.2,"TC",17.8238382885527
75,0.4,0.2,"TC",18.2732196027334
75,0.6,0.2,"TC",15.7050375789219
105,0.4,0.2,"TC",17.0694331812008
105,0.6,0.2,"TC",17.6814087356463
90,0.5,0.2,"TC",20.9270812708602
75,0.4,0.2,"TC",19.5339716478006
75,0.6,0.2,"TC",16.7619016868904
105,0.4,0.2,"TC",21.2243825118622
105,0.6,0.2,"TC",16.6355139401014
90,0.5,0.2,"TC",15.4508002005142
75,0.4,0.2,"TC",19.6739284621449
75,0.6,0.2,"TC",20.2333980455517
105,0.4,0.2,"TC",21.507096672357
105,0.6,0.2,"TC",17.284929414469
90,0.5,0.2,"TC",15.198373803197
75,0.4,0.2,"TC",13.7421582967249
75,0.6,0.2,"TC",14.7316273332504
105,0.4,0.2,"TC",21.7049214391278
105,0.6,0.2,"TC",15.6598038409872
90,0.5,0.2,"TC",16.2681289368519
75,0.4,0.2,"TC",19.8837887633833
75,0.6,0.2,"TC",13.9707585210632
105,0.4,0.2,"TC",20.4849672773012
105,0.6,0.2,"TC",23.5659396121468
90,0.5,0.2,"TC",14.7799742101902
75,0.4,0.2,"TC",17.8243827724131
75,0.6,0.2,"TC",19.1278613088994
105,0.4,0.2,"TC",18.764944932923
105,0.6,0.2,"TC",17.0141904535753
90,0.5,0.2,"TC",16.0771680458957
75,0.4,0.2,"TC",16.7297308752427
75,0.6,0.2,"TC",21.8304216536739
105,0.4,0.2,"TC",15.8936785149496
105,0.6,0.2,"TC",20.4537259398504
90,0.5,0.2,"TC",15.589819351727
75,0.4,0.2,"TC",21.5316326185621
75,0.6,0.2,"TC",17.027931533896
105,0.4,0.2,"TC",14.7533288665372
105,0.6,0.2,"TC",14.9427765166178
90,0.5,0.2,"TC",21.3642096147481
75,0.4,0.2,"TC",17.8591115614206
75,0.6,0.2,"TC",20.3060503742541
105,0.4,0.2,"TC",23.5267562154044
105,0.6,0.2,"TC",14.9123739310271
90,0.5,0.2,"TC",15.8975700110493
75,0.4,0.2,"TC",16.7316305002368
75,0.6,0.2,"TC",11.6831193708684
105,0.4,0.2,"TC",20.3635338771478
105,0.6,0.2,"TC",19.3649814052038
90,0.5,0.2,"TC",13.2244620983223
75,0.4,0.2,"TC",15.6322646778138
75,0.6,0.2,"TC",13.9169742744877
105,0.4,0.2,"TC",20.3350785338847
105,0.6,0.2,"TC",16.8671169642679
90,0.5,0.2,"TC",15.7096484628221
75,0.4,0.2,"TC",18.91571590553
75,0.6,0.2,"TC",20.489525612389
105,0.4,0.2,"TC",16.6753276099898
105,0.6,0.2,"TC",14.4716728405752
90,0.5,0.2,"TC",18.4669386568829
75,0.4,0.2,"TC",19.2581570525487
75,0.6,0.2,"TC",19.7943189188972
105,0.4,0.2,"TC",16.2371756591279
105,0.6,0.2,"TC",13.1835938451389
90,0.5,0.2,"TC",13.2094579461579
75,0.4,0.2,"TC",19.7598287097425
75,0.6,0.2,"TC",14.8258655376171
105,0.4,0.2,"TC",20.5488966630664
105,0.6,0.2,"TC",17.275064175684
90,0.5,0.2,"TC",17.8431869474614
75,0.4,0.2,"TC",22.2919600302196
75,0.6,0.2,"TC",15.9935661856658
105,0.4,0.2,"TC",17.2240040041716
105,0.6,0.2,"TC",14.2886377030686
90,0.5,0.2,"TC",17.2748430517096
75,0.4,0.2,"TC",18.7031334938996
75,0.6,0.2,"TC",20.2105827983427
105,0.4,0.2,"TC",20.4820570307588
105,0.6,0.2,"TC",15.6354937554878
90,0.5,0.2,"TC",15.6151343372279
75,0.4,0.2,"TC",23.6408382489585
75,0.6,0.2,"TC",15.6889697956598
105,0.4,0.2,"TC",18.8921008668052
105,0.6,0.2,"TC",15.5049928083642
90,0.5,0.2,"TC",18.7211531581748
75,0.4,0.2,"TC",20.2163432071303
75,0.6,0.2,"TC",19.162386382111
105,0.4,0.2,"TC",16.9314595286997
105,0.6,0.2,"TC",9.9521224570442
90,0.5,0.2,"TC",16.8188162356251
75,0.4,0.2,"TC",13.6163603292925
