"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
75,0.4,0.2,"TC",19.423323908107
75,0.6,0.2,"TC",15.0586349036027
105,0.4,0.2,"TC",16.5894069619435
105,0.6,0.2,"TC",18.6475573579663
90,0.5,0.2,"TC",17.6325248928521
110,0.5,0.2,"TC",15.9440651808546
70,0.5,0.2,"TC",18.1234107060352
90,0.36,0.2,"TC",20.987341153634
90,0.64,0.2,"TC",18.1305621794941
75,0.4,0.2,"TC",18.135873788095
75,0.6,0.2,"TC",19.5525500735834
105,0.4,0.2,"TC",20.6473516110478
105,0.6,0.2,"TC",12.8166196975391
90,0.5,0.2,"TC",20.2032446448864
110,0.5,0.2,"TC",19.5486237111484
70,0.5,0.2,"TC",17.041284737098
90,0.36,0.2,"TC",20.5970070935264
90,0.64,0.2,"TC",9.86212750197837
75,0.4,0.2,"TC",20.179447472987
75,0.6,0.2,"TC",19.1729909619479
105,0.4,0.2,"TC",20.0523368900638
105,0.6,0.2,"TC",12.7686779639685
90,0.5,0.2,"TC",18.0793443229514
110,0.5,0.2,"TC",21.0907653234993
70,0.5,0.2,"TC",16.900815410538
90,0.36,0.2,"TC",18.965272488349
90,0.64,0.2,"TC",16.4818714707745
75,0.4,0.2,"TC",19.2417303571838
75,0.6,0.2,"TC",20.440997693781
105,0.4,0.2,"TC",16.6156332243856
105,0.6,0.2,"TC",20.2013318449608
90,0.5,0.2,"TC",10.654682354268
110,0.5,0.2,"TC",16.7249355913885
70,0.5,0.2,"TC",14.4122947603244
90,0.36,0.2,"TC",16.0664686009056
90,0.64,0.2,"TC",9.70045433413978
75,0.4,0.2,"TC",18.9767432643507
75,0.6,0.2,"TC",18.7093131613378
105,0.4,0.2,"TC",15.4128998496701
105,0.6,0.2,"TC",22.3465134646268
90,0.5,0.2,"TC",16.5892916166882
110,0.5,0.2,"TC",17.4060911030666
70,0.5,0.2,"TC",20.3307809107931
90,0.36,0.2,"TC",17.8060138497704
90,0.64,0.2,"TC",14.5304946308285
75,0.4,0.2,"TC",19.2489616032387
75,0.6,0.2,"TC",14.3890259385595
105,0.4,0.2,"TC",14.142616774038
105,0.6,0.2,"TC",22.8139832173693
90,0.5,0.2,"TC",18.2457770112714
110,0.5,0.2,"TC",21.0230168960335
70,0.5,0.2,"TC",16.8519885140928
90,0.36,0.2,"TC",19.2319678037469
90,0.64,0.2,"TC",18.7840290373958
75,0.4,0.2,"TC",19.8509771911451
75,0.6,0.2,"TC",19.1483131372799
105,0.4,0.2,"TC",16.8600797177128
105,0.6,0.2,"TC",24.8533424471544
90,0.5,0.2,"TC",16.4823278060706
110,0.5,0.2,"TC",24.2035116181505
70,0.5,0.2,"TC",15.9424913081568
90,0.36,0.2,"TC",15.0999382414038
90,0.64,0.2,"TC",12.9562220564584
75,0.4,0.2,"TC",16.3220717524051
75,0.6,0.2,"TC",17.7001094142733
105,0.4,0.2,"TC",14.4192171426482
105,0.6,0.2,"TC",18.3016178831406
90,0.5,0.2,"TC",20.4105842432306
110,0.5,0.2,"TC",17.3647045208401
70,0.5,0.2,"TC",23.5422851731063
90,0.36,0.2,"TC",16.8239522757472
90,0.64,0.2,"TC",13.3472435604746
75,0.4,0.2,"TC",14.3761302384165
75,0.6,0.2,"TC",13.9502133270061
105,0.4,0.2,"TC",20.8532426110032
105,0.6,0.2,"TC",16.5822655263247
90,0.5,0.2,"TC",16.1997274479169
110,0.5,0.2,"TC",19.7840402009759
70,0.5,0.2,"TC",12.0593292078985
90,0.36,0.2,"TC",19.8632211644892
90,0.64,0.2,"TC",17.0713706489645
75,0.4,0.2,"TC",17.8641573569303
75,0.6,0.2,"TC",20.2584000567182
105,0.4,0.2,"TC",20.6907542853833
105,0.6,0.2,"TC",20.5787311380325
90,0.5,0.2,"TC",13.2537302657469
110,0.5,0.2,"TC",17.9523177851319
70,0.5,0.2,"TC",14.9280217254641
90,0.36,0.2,"TC",20.2961795674149
90,0.64,0.2,"TC",19.0894672173763
75,0.4,0.2,"TC",15.8965072658712
75,0.6,0.2,"TC",12.9687587696296
105,0.4,0.2,"TC",21.1489930069079
105,0.6,0.2,"TC",24.5952235327495
90,0.5,0.2,"TC",23.1014180803386
110,0.5,0.2,"TC",21.5588101642961
70,0.5,0.2,"TC",21.7094435502104
90,0.36,0.2,"TC",17.8060300999056
90,0.64,0.2,"TC",10.9512973645377
75,0.4,0.2,"TC",17.6443145834644
75,0.6,0.2,"TC",15.4402000189952
105,0.4,0.2,"TC",21.327985804989
105,0.6,0.2,"TC",17.6073497072141
90,0.5,0.2,"TC",13.7002335247461
110,0.5,0.2,"TC",17.7123234365733
70,0.5,0.2,"TC",14.2780252767413
90,0.36,0.2,"TC",20.0921080269106
90,0.64,0.2,"TC",10.6160848180054
75,0.4,0.2,"TC",15.4909032213578
75,0.6,0.2,"TC",15.9559991821845
105,0.4,0.2,"TC",16.8268065408722
105,0.6,0.2,"TC",22.6395403299998
90,0.5,0.2,"TC",11.4081419522559
110,0.5,0.2,"TC",24.6966262913548
70,0.5,0.2,"TC",13.6126317352624
90,0.36,0.2,"TC",16.4746162756282
90,0.64,0.2,"TC",12.8049637836769
75,0.4,0.2,"TC",23.0814002329245
75,0.6,0.2,"TC",15.8116458723265
105,0.4,0.2,"TC",21.7344500236938
105,0.6,0.2,"TC",18.0315283940527
90,0.5,0.2,"TC",11.8628853033051
110,0.5,0.2,"TC",21.8075129115501
70,0.5,0.2,"TC",19.32388678848
90,0.36,0.2,"TC",19.0180788565532
90,0.64,0.2,"TC",11.3538901209861
75,0.4,0.2,"TC",20.2341230644048
75,0.6,0.2,"TC",15.5158879896776
105,0.4,0.2,"TC",11.7780047403833
105,0.6,0.2,"TC",10.0124352080363
90,0.5,0.2,"TC",21.2946910550928
110,0.5,0.2,"TC",23.0604678141878
70,0.5,0.2,"TC",18.2216657893956
90,0.36,0.2,"TC",13.0728156897705
90,0.64,0.2,"TC",21.3799549777552
75,0.4,0.2,"TC",20.7477668672835
75,0.6,0.2,"TC",21.1337170530384
105,0.4,0.2,"TC",19.0346506313466
105,0.6,0.2,"TC",20.6092794333677
90,0.5,0.2,"TC",15.6703319001789
110,0.5,0.2,"TC",17.1804982184158
70,0.5,0.2,"TC",19.4480762886322
90,0.36,0.2,"TC",17.4765215847403
90,0.64,0.2,"TC",16.0111971557899
75,0.4,0.2,"TC",20.4852004365159
75,0.6,0.2,"TC",16.7509053315153
105,0.4,0.2,"TC",18.0586316521732
105,0.6,0.2,"TC",13.7981122282424
90,0.5,0.2,"TC",14.3403033597746
110,0.5,0.2,"TC",15.9833865097747
70,0.5,0.2,"TC",15.4298572067868
90,0.36,0.2,"TC",23.5176786193247
90,0.64,0.2,"TC",18.9067352207177
75,0.4,0.2,"TC",20.9018998568902
75,0.6,0.2,"TC",17.1048340363827
105,0.4,0.2,"TC",20.6154803358057
105,0.6,0.2,"TC",17.8067596089386
90,0.5,0.2,"TC",13.2256129346093
110,0.5,0.2,"TC",15.818122082416
70,0.5,0.2,"TC",16.1473278850849
90,0.36,0.2,"TC",22.5126731481466
90,0.64,0.2,"TC",20.7700896006414
75,0.4,0.2,"TC",16.0929718852299
75,0.6,0.2,"TC",13.5776861221842
105,0.4,0.2,"TC",17.732570278726
105,0.6,0.2,"TC",18.0279692171067
90,0.5,0.2,"TC",17.7176426314957
110,0.5,0.2,"TC",20.9492859164036
70,0.5,0.2,"TC",13.9355133076869
90,0.36,0.2,"TC",19.6893033992068
90,0.64,0.2,"TC",13.829559038151
75,0.4,0.2,"TC",22.9516295711739
75,0.6,0.2,"TC",12.9215116950843
105,0.4,0.2,"TC",19.4867855857046
105,0.6,0.2,"TC",20.7170643527918
90,0.5,0.2,"TC",17.3342388448315
110,0.5,0.2,"TC",20.318738210922
70,0.5,0.2,"TC",20.0210816487614
90,0.36,0.2,"TC",20.1021648077597
90,0.64,0.2,"TC",10.8461475544588
75,0.4,0.2,"TC",19.0137975747849
75,0.6,0.2,"TC",21.0337965780076
105,0.4,0.2,"TC",20.6048444516117
105,0.6,0.2,"TC",17.7304090156612
90,0.5,0.2,"TC",24.3435063161574
110,0.5,0.2,"TC",18.4990696394175
70,0.5,0.2,"TC",22.1150965623375
90,0.36,0.2,"TC",20.8531177143263
90,0.64,0.2,"TC",21.7576311792687
75,0.4,0.2,"TC",23.1490433444782
75,0.6,0.2,"TC",15.3303046388343
105,0.4,0.2,"TC",21.1351653049145
105,0.6,0.2,"TC",15.3051461003656
90,0.5,0.2,"TC",17.7870585850802
110,0.5,0.2,"TC",14.51712173202
70,0.5,0.2,"TC",12.9374389409316
90,0.36,0.2,"TC",20.074239085652
90,0.64,0.2,"TC",13.9642472137768
75,0.4,0.2,"TC",17.4258938013166
75,0.6,0.2,"TC",15.7358115572074
105,0.4,0.2,"TC",19.4427822839596
105,0.6,0.2,"TC",19.8254307104616
90,0.5,0.2,"TC",16.0699711819249
110,0.5,0.2,"TC",12.9396584074831
70,0.5,0.2,"TC",13.9561002574087
90,0.36,0.2,"TC",15.4087102387909
