"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
30,0.5,0.2,"TC",23.61302355648
30,0.3,0.2,"TC",20.2406713483582
90,0.5,0.2,"TC",6.94883999342369
90,0.3,0.2,"TC",17.6288835368775
60,0.4,0.2,"TC",18.2029164257651
30,0.5,0.2,"TC",21.2721119674163
30,0.3,0.2,"TC",22.4658603378191
90,0.5,0.2,"TC",17.5774445903514
90,0.3,0.2,"TC",22.72477762945
60,0.4,0.2,"TC",20.2248033541041
30,0.5,0.2,"TC",19.826465053713
30,0.3,0.2,"TC",22.815721032385
90,0.5,0.2,"TC",15.0343884765547
90,0.3,0.2,"TC",18.5682767579645
60,0.4,0.2,"TC",25.5506130543302
30,0.5,0.2,"TC",17.1346653012411
30,0.3,0.2,"TC",22.2427668350947
90,0.5,0.2,"TC",19.679028288521
90,0.3,0.2,"TC",22.1663780861674
60,0.4,0.2,"TC",18.5026404304155
30,0.5,0.2,"TC",15.7598891518471
30,0.3,0.2,"TC",12.4348634247468
90,0.5,0.2,"TC",21.3670257814684
90,0.3,0.2,"TC",21.6619888209801
60,0.4,0.2,"TC",16.0859781376536
30,0.5,0.2,"TC",18.0776523043149
30,0.3,0.2,"TC",24.9600572897012
90,0.5,0.2,"TC",14.5444888027487
90,0.3,0.2,"TC",15.7370495517923
60,0.4,0.2,"TC",19.2880135587429
30,0.5,0.2,"TC",19.8464199310721
30,0.3,0.2,"TC",14.7484274649129
90,0.5,0.2,"TC",13.2696825277162
90,0.3,0.2,"TC",15.786684432424
60,0.4,0.2,"TC",20.7131165763979
30,0.5,0.2,"TC",24.3460268668145
30,0.3,0.2,"TC",25.7174742085672
90,0.5,0.2,"TC",13.5807239469859
90,0.3,0.2,"TC",17.5503201308901
60,0.4,0.2,"TC",24.6364489706987
30,0.5,0.2,"TC",21.0869550594059
30,0.3,0.2,"TC",20.6669122532038
90,0.5,0.2,"TC",16.5634905674769
90,0.3,0.2,"TC",21.0606851862334
60,0.4,0.2,"TC",23.712021954899
30,0.5,0.2,"TC",18.4628372724596
30,0.3,0.2,"TC",19.0143562954716
90,0.5,0.2,"TC",16.0908059207726
90,0.3,0.2,"TC",20.5067637180904
60,0.4,0.2,"TC",18.4947688994091
30,0.5,0.2,"TC",17.185367821361
30,0.3,0.2,"TC",29.4875974973804
90,0.5,0.2,"TC",17.9596681926329
90,0.3,0.2,"TC",18.9334179175822
60,0.4,0.2,"TC",15.0843321451763
30,0.5,0.2,"TC",24.2025386990716
30,0.3,0.2,"TC",18.891762885614
90,0.5,0.2,"TC",17.4560670776754
90,0.3,0.2,"TC",22.5841559665764
60,0.4,0.2,"TC",19.4792702619509
30,0.5,0.2,"TC",20.7904416384932
30,0.3,0.2,"TC",25.8748806668168
90,0.5,0.2,"TC",18.3317228313033
90,0.3,0.2,"TC",19.607664049618
60,0.4,0.2,"TC",19.7585282561082
30,0.5,0.2,"TC",24.3232641151374
30,0.3,0.2,"TC",17.2799117594394
90,0.5,0.2,"TC",18.856842044309
90,0.3,0.2,"TC",21.5423130240785
60,0.4,0.2,"TC",26.5069627445205
30,0.5,0.2,"TC",19.7794196888059
30,0.3,0.2,"TC",18.9125677033822
90,0.5,0.2,"TC",17.9343117314712
90,0.3,0.2,"TC",25.112748868677
60,0.4,0.2,"TC",18.6549621778269
30,0.5,0.2,"TC",23.8112760629407
30,0.3,0.2,"TC",27.8672387961976
90,0.5,0.2,"TC",17.2249893659491
90,0.3,0.2,"TC",20.7921750300454
60,0.4,0.2,"TC",22.3464973308235
30,0.5,0.2,"TC",23.7667313250614
30,0.3,0.2,"TC",20.7303196814639
90,0.5,0.2,"TC",15.5514403939029
90,0.3,0.2,"TC",18.1967699876329
60,0.4,0.2,"TC",20.5512136908528
30,0.5,0.2,"TC",22.155437323171
30,0.3,0.2,"TC",19.0388138005629
90,0.5,0.2,"TC",18.1871404988963
90,0.3,0.2,"TC",17.7884377953317
60,0.4,0.2,"TC",20.6188260042316
30,0.5,0.2,"TC",14.1970398302462
30,0.3,0.2,"TC",17.0589016562391
90,0.5,0.2,"TC",21.8674307399083
90,0.3,0.2,"TC",20.6090932151302
60,0.4,0.2,"TC",19.1269460334908
30,0.5,0.2,"TC",23.940128563698
