"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
60,0.4,0.2,"TC",19.9455976325758
65,0.416,0.2,"TC",24.4412572727462
70,0.4319,0.2,"TC",16.922718341297
75,0.4478,0.2,"TC",15.2118884859037
80,0.46376,0.2,"TC",15.6827228825703
85,0.4797,0.2,"TC",19.9959338154148
90,0.495639,0.2,"TC",13.7052176196963
95,0.51158,0.2,"TC",18.6405852790658
100,0.52752,0.2,"TC",16.2356110946612
60,0.4,0.2,"TC",19.1451450234657
65,0.416,0.2,"TC",21.3013528759548
70,0.4319,0.2,"TC",16.8466617031317
75,0.4478,0.2,"TC",18.632209997475
80,0.46376,0.2,"TC",17.4026612522951
85,0.4797,0.2,"TC",22.9682872143177
90,0.495639,0.2,"TC",18.7426182885986
95,0.51158,0.2,"TC",11.9153936458302
100,0.52752,0.2,"TC",14.0037813363497
60,0.4,0.2,"TC",17.3669522192979
65,0.416,0.2,"TC",16.5230693000941
70,0.4319,0.2,"TC",18.2059206759397
75,0.4478,0.2,"TC",17.9623871825334
80,0.46376,0.2,"TC",23.295892841022
85,0.4797,0.2,"TC",13.6620990277535
90,0.495639,0.2,"TC",15.6301289744763
95,0.51158,0.2,"TC",17.693283882168
100,0.52752,0.2,"TC",19.4164678348515
60,0.4,0.2,"TC",18.9370794291789
65,0.416,0.2,"TC",20.3553426289562
70,0.4319,0.2,"TC",17.7955772279902
75,0.4478,0.2,"TC",18.1821147231369
80,0.46376,0.2,"TC",16.6024814683664
85,0.4797,0.2,"TC",17.7166034208774
90,0.495639,0.2,"TC",13.7026231299693
95,0.51158,0.2,"TC",18.4574011175112
100,0.52752,0.2,"TC",11.8198628296418
60,0.4,0.2,"TC",20.7711860710319
65,0.416,0.2,"TC",19.5197182178628
70,0.4319,0.2,"TC",19.0167325040799
75,0.4478,0.2,"TC",14.1584094750868
80,0.46376,0.2,"TC",18.3373774451811
85,0.4797,0.2,"TC",23.1455634899956
90,0.495639,0.2,"TC",18.4556861529429
95,0.51158,0.2,"TC",10.7415968339311
100,0.52752,0.2,"TC",15.7637921347994
60,0.4,0.2,"TC",19.8391407977528
65,0.416,0.2,"TC",19.4407475395579
70,0.4319,0.2,"TC",18.0931165013371
75,0.4478,0.2,"TC",11.6686004643126
80,0.46376,0.2,"TC",16.9302454791691
85,0.4797,0.2,"TC",17.0508543581286
90,0.495639,0.2,"TC",6.74839112448812
95,0.51158,0.2,"TC",16.2468211217151
100,0.52752,0.2,"TC",12.9053695982471
60,0.4,0.2,"TC",21.5691858791132
65,0.416,0.2,"TC",13.7577430074928
70,0.4319,0.2,"TC",14.0457623509704
75,0.4478,0.2,"TC",18.4335170387945
80,0.46376,0.2,"TC",18.5203576057058
85,0.4797,0.2,"TC",20.1342859375768
90,0.495639,0.2,"TC",15.6534378230104
95,0.51158,0.2,"TC",15.5514717651563
100,0.52752,0.2,"TC",15.2114768551184
60,0.4,0.2,"TC",16.0843404992802
65,0.416,0.2,"TC",24.2185323693931
70,0.4319,0.2,"TC",23.5568195307131
75,0.4478,0.2,"TC",18.7857016599154
80,0.46376,0.2,"TC",18.1704722755016
85,0.4797,0.2,"TC",15.162822982779
90,0.495639,0.2,"TC",16.4693567066251
95,0.51158,0.2,"TC",20.4184768152682
100,0.52752,0.2,"TC",21.909934821211
60,0.4,0.2,"TC",17.3166797139089
65,0.416,0.2,"TC",17.3323380546915
70,0.4319,0.2,"TC",15.8040538287548
75,0.4478,0.2,"TC",20.1907876339208
80,0.46376,0.2,"TC",15.3120680050221
85,0.4797,0.2,"TC",22.3512323339354
90,0.495639,0.2,"TC",19.6798323373328
95,0.51158,0.2,"TC",21.0765741836089
100,0.52752,0.2,"TC",15.4516049643838
60,0.4,0.2,"TC",14.6399340956342
65,0.416,0.2,"TC",20.2135849312472
70,0.4319,0.2,"TC",15.7257141487593
75,0.4478,0.2,"TC",17.2644578839368
80,0.46376,0.2,"TC",16.1723943256104
85,0.4797,0.2,"TC",13.1121159644257
90,0.495639,0.2,"TC",9.78861217400929
95,0.51158,0.2,"TC",14.2550149001441
100,0.52752,0.2,"TC",18.4053412719419
60,0.4,0.2,"TC",20.9074514359387
65,0.416,0.2,"TC",20.1340412730302
70,0.4319,0.2,"TC",18.3660140931629
75,0.4478,0.2,"TC",16.3689162753592
80,0.46376,0.2,"TC",22.6711931359806
85,0.4797,0.2,"TC",15.8566936380252
90,0.495639,0.2,"TC",15.8504651531087
95,0.51158,0.2,"TC",13.8992537015388
100,0.52752,0.2,"TC",18.562365815266
60,0.4,0.2,"TC",18.6762909539577
65,0.416,0.2,"TC",21.3766401093871
70,0.4319,0.2,"TC",18.9525419901505
75,0.4478,0.2,"TC",16.9433008441974
80,0.46376,0.2,"TC",15.8363806715515
85,0.4797,0.2,"TC",13.9110415783198
90,0.495639,0.2,"TC",16.1638545580558
95,0.51158,0.2,"TC",19.9698127593989
100,0.52752,0.2,"TC",23.3241286606088
60,0.4,0.2,"TC",22.0083613611393
65,0.416,0.2,"TC",15.6759126714962
70,0.4319,0.2,"TC",21.1520676780421
